TIME ms, IN1, IN2
25, 0.012939, -3.640137
24.951, 0.012695, -2.733154
24.902, 0.012817, -1.416016
24.854, 0.012695, 0.032959
24.805, 0.012817, 1.477051
24.756, 0.012573, 2.7771
24.707, 0.012573, 3.812256
24.658, 0.012817, 4.483643
24.609, 0.012695, 4.727783
24.561, 0.012817, 4.521484
24.512, 0.012695, 3.884277
24.463, 0.012817, 2.879639
24.414, 0.012573, 1.599121
24.365, 0.012451, 0.161133
24.316, 0.012695, -1.293945
24.268, 0.012451, -2.628174
24.219, 0.012817, -3.717041
24.17, 0.012451, -4.454346
24.121, 0.012817, -4.777832
24.072, 0.012817, -4.648438
24.023, 0.012817, -4.084473
23.975, 0.013062, -3.134766
23.926, 0.012451, -1.89209
23.877, 0.012939, -0.474854
23.828, 0.012817, 0.986328
23.779, 0.012695, 2.352295
23.73, 0.012817, 3.322754
23.682, 0.013062, 4.188232
23.633, 0.012939, 4.656982
23.584, 0.012817, 4.682617
23.535, 0.012695, 4.261475
23.486, 0.012695, 3.435059
23.438, 0.013062, 2.277832
23.389, 0.012695, 0.906982
23.34, 0.012695, -0.556641
23.291, 0.012939, -1.970215
23.242, 0.012695, -3.198242
23.193, 0.012817, -4.128418
23.145, 0.012817, -4.667969
23.096, 0.012939, -4.771729
23.047, 0.012939, -4.42627
22.998, 0.012817, -3.66333
22.949, 0.013184, -2.558594
22.9, 0.012817, -1.213379
22.852, 0.013184, 0.24292
22.803, 0.012695, 1.674805
22.754, 0.012817, 2.943115
22.705, 0.012817, 3.931885
22.656, 0.012939, 4.543457
22.607, 0.012939, 4.724121
22.559, 0.012939, 4.456787
22.51, 0.012817, 3.902588
22.461, 0.012817, 2.905273
22.412, 0.012451, 1.629639
22.363, 0.012695, 0.195312
22.314, 0.012695, -1.260986
22.266, 0.012695, -2.600098
22.217, 0.012817, -3.695068
22.168, 0.012817, -4.44458
22.119, 0.012817, -4.775391
22.07, 0.012817, -4.658203
22.021, 0.013062, -4.101562
21.973, 0.012695, -3.1604
21.924, 0.012939, -1.923828
21.875, 0.013062, -0.509033
21.826, 0.012817, 0.953369
21.777, 0.012695, 2.321777
21.729, 0.012695, 3.468018
21.68, 0.013184, 4.278564
21.631, 0.012695, 4.6875
21.582, 0.013062, 4.647217
21.533, 0.013062, 4.16626
21.484, 0.012573, 3.288574
21.436, 0.012817, 2.094727
21.387, 0.012817, 0.700684
21.338, 0.012939, -0.76416
21.289, 0.012573, -1.937256
21.24, 0.012817, -3.172607
21.191, 0.012695, -4.110107
21.143, 0.012451, -4.660645
21.094, 0.012817, -4.772949
21.045, 0.013062, -4.439697
20.996, 0.013062, -3.685303
20.947, 0.012695, -2.58667
20.898, 0.013184, -1.247559
20.85, 0.012939, 0.20874
20.801, 0.012817, 1.641846
20.752, 0.012939, 2.915039
20.703, 0.012817, 3.912354
20.654, 0.012695, 4.536133
20.605, 0.013062, 4.725342
20.557, 0.012817, 4.466553
20.508, 0.013062, 3.782959
20.459, 0.012939, 2.736816
20.41, 0.012573, 1.431885
20.361, 0.012451, -0.014648
20.313, 0.012817, -1.462402
20.264, 0.012817, -2.773438
20.215, 0.012939, -3.825684
20.166, 0.012817, -4.517822
20.117, 0.012695, -4.785156
20.068, 0.013184, -4.604492
20.02, 0.012817, -4.118652
19.971, 0.012939, -3.187256
19.922, 0.013062, -1.955566
19.873, 0.012695, -0.541992
19.824, 0.012695, 0.919189
19.775, 0.013184, 2.29126
19.727, 0.013062, 3.443604
19.678, 0.013062, 4.266357
19.629, 0.012451, 4.682617
19.58, 0.012939, 4.656982
19.531, 0.012329, 4.18457
19.482, 0.012939, 3.312988
19.434, 0.012817, 2.124023
19.385, 0.012817, 0.733643
19.336, 0.012207, -0.727539
19.287, 0.012939, -2.128906
19.238, 0.012939, -3.327637
19.189, 0.012695, -4.211426
19.141, 0.012573, -4.70459
19.092, 0.013062, -4.750977
19.043, 0.012451, -4.353027
18.994, 0.012695, -3.546143
18.945, 0.012817, -2.407227
18.896, 0.012817, -1.04248
18.848, 0.012817, 0.419922
18.799, 0.012939, 1.608887
18.75, 0.012451, 2.890625
18.701, 0.013062, 3.890381
18.652, 0.012573, 4.526367
18.604, 0.013062, 4.725342
18.555, 0.012817, 4.47876
18.506, 0.012451, 3.804932
18.457, 0.012451, 2.767334
18.408, 0.012817, 1.463623
18.359, 0.012573, 0.020752
18.311, 0.012573, -1.428223
18.262, 0.012939, -2.744141
18.213, 0.012817, -3.803711
18.164, 0.012817, -4.504395
18.115, 0.012817, -4.783936
18.066, 0.013184, -4.611816
18.018, 0.012695, -4.006348
17.969, 0.012695, -3.026123
17.92, 0.013062, -1.762695
17.871, 0.012817, -0.332031
17.822, 0.012939, 1.124268
17.773, 0.012695, 2.473145
17.725, 0.012817, 3.583984
17.676, 0.012695, 4.353027
17.627, 0.012573, 4.709473
17.578, 0.012695, 4.661865
17.529, 0.012573, 4.197998
17.48, 0.012695, 3.337402
17.432, 0.012939, 2.155762
17.383, 0.012939, 0.766602
17.334, 0.013062, -0.697021
17.285, 0.012695, -2.095947
17.236, 0.012817, -3.300781
17.188, 0.012817, -4.195557
17.139, 0.012817, -4.697266
17.09, 0.012695, -4.75708
17.041, 0.012939, -4.368896
16.992, 0.012695, -3.570557
16.943, 0.012451, -2.435303
16.895, 0.012695, -1.075439
16.846, 0.012817, 0.383301
16.797, 0.013184, 1.80542
16.748, 0.013062, 3.051758
16.699, 0.013184, 4.005127
16.65, 0.012695, 4.581299
16.602, 0.012817, 4.716797
16.553, 0.012817, 4.407959
16.504, 0.012573, 3.673096
16.455, 0.012695, 2.593994
16.406, 0.012573, 1.262207
16.357, 0.012451, -0.19043
16.309, 0.012695, -1.395264
16.26, 0.012817, -2.718506
16.211, 0.012573, -3.781738
16.162, 0.012451, -4.493408
16.113, 0.012573, -4.781494
16.064, 0.012451, -4.622803
16.016, 0.012695, -4.025879
15.967, 0.012817, -3.054199
15.918, 0.012451, -1.793213
15.869, 0.012695, -0.367432
15.82, 0.012573, 1.091309
15.771, 0.012573, 2.441406
15.723, 0.012695, 3.560791
15.674, 0.012939, 4.337158
15.625, 0.012207, 4.707031
15.576, 0.012817, 4.622803
15.527, 0.012573, 4.100342
15.479, 0.012573, 3.184814
15.43, 0.012329, 1.968994
15.381, 0.012573, 0.560303
15.332, 0.012207, -0.90332
15.283, 0.012695, -2.282715
15.234, 0.012451, -3.450928
15.186, 0.012695, -4.295654
15.137, 0.012695, -4.735107
15.088, 0.012573, -4.759521
15.039, 0.012817, -4.382324
14.99, 0.012451, -3.591309
14.941, 0.012451, -2.46582
14.893, 0.012817, -1.109619
14.844, 0.012573, 0.349121
14.795, 0.012817, 1.772461
14.746, 0.012207, 3.026123
14.697, 0.012329, 3.989258
14.648, 0.012695, 4.571533
14.6, 0.012695, 4.720459
14.551, 0.012451, 4.421387
