TIME ms, IN1, IN2
25, 0.012939, 4.467773
24.951, 0.012695, 4.713135
24.902, 0.012573, 4.599609
24.854, 0.012817, 4.041748
24.805, 0.012939, 3.103027
24.756, 0.012939, 1.867676
24.707, 0.012939, 0.450439
24.658, 0.012939, -1.009521
24.609, 0.012939, -2.376709
24.561, 0.012939, -3.525391
24.512, 0.012939, -4.34082
24.463, 0.012939, -4.748535
24.414, 0.013062, -4.709473
24.365, 0.012695, -4.228516
24.316, 0.012817, -3.349609
24.268, 0.012939, -2.155762
24.219, 0.012695, -0.762939
24.17, 0.012939, 0.700684
24.121, 0.012817, 2.094727
24.072, 0.012817, 3.287354
24.023, 0.012939, 4.16626
23.975, 0.013062, 4.648438
23.926, 0.012695, 4.6875
23.877, 0.012817, 4.283447
23.828, 0.012695, 3.468018
23.779, 0.013184, 2.320557
23.73, 0.012939, 1.191406
23.682, 0.012817, -0.264893
23.633, 0.012817, -1.697998
23.584, 0.012939, -2.974854
23.535, 0.012939, -3.970947
23.486, 0.012695, -4.593506
23.438, 0.012695, -4.786377
23.389, 0.012939, -4.527588
23.34, 0.012695, -3.845215
23.291, 0.012939, -2.801514
23.242, 0.012817, -1.494141
23.193, 0.012817, -0.048828
23.145, 0.012695, 1.397705
23.096, 0.012817, 2.70874
23.047, 0.012939, 3.762207
22.998, 0.013062, 4.454346
22.949, 0.012817, 4.7229
22.9, 0.012939, 4.544678
22.852, 0.012695, 3.929443
22.803, 0.012695, 2.943115
22.754, 0.013062, 1.672363
22.705, 0.012695, 0.24292
22.656, 0.012695, -1.2146
22.607, 0.012573, -2.559814
22.559, 0.012573, -3.66333
22.51, 0.012695, -4.326172
22.461, 0.012573, -4.743652
22.412, 0.012817, -4.716797
22.363, 0.012817, -4.243164
22.314, 0.012817, -3.375244
22.266, 0.013184, -2.189941
22.217, 0.012695, -0.795898
22.168, 0.012939, 0.666504
22.119, 0.012939, 2.062988
22.07, 0.012573, 3.26416
22.021, 0.012451, 4.14917
21.973, 0.012939, 4.642334
21.924, 0.012695, 4.691162
21.875, 0.012451, 4.296875
21.826, 0.012573, 3.491211
21.777, 0.012451, 2.353516
21.729, 0.012817, 0.986328
21.68, 0.012695, -0.474854
21.631, 0.012817, -1.894531
21.582, 0.012573, -3.135986
21.533, 0.012695, -4.084473
21.484, 0.012451, -4.649658
21.436, 0.012939, -4.777832
21.387, 0.012817, -4.458008
21.338, 0.012573, -3.7146
21.289, 0.012817, -2.828369
21.24, 0.012573, -1.525879
21.191, 0.012573, -0.084229
21.143, 0.012329, 1.365967
21.094, 0.012939, 2.679443
21.045, 0.012817, 3.741455
20.996, 0.012939, 4.442139
20.947, 0.012817, 4.724121
20.898, 0.012817, 4.553223
20.85, 0.012573, 3.951416
20.801, 0.012939, 2.967529
20.752, 0.012573, 1.706543
20.703, 0.012573, 0.2771
20.654, 0.012695, -1.181641
20.605, 0.013062, -2.531738
20.557, 0.013184, -3.643799
20.508, 0.012939, -4.412842
20.459, 0.012939, -4.770508
20.41, 0.012817, -4.676514
20.361, 0.012939, -4.143066
20.313, 0.012939, -3.223877
20.264, 0.012939, -1.99707
20.215, 0.012817, -0.5896
20.166, 0.013184, 0.872803
20.117, 0.012817, 2.248535
20.068, 0.013306, 3.408203
20.02, 0.012573, 4.134521
19.971, 0.012451, 4.63501
19.922, 0.012939, 4.694824
19.873, 0.012939, 4.307861
19.824, 0.013062, 3.511963
19.775, 0.012817, 2.380371
19.727, 0.012695, 1.020508
19.678, 0.013062, -0.441895
19.629, 0.012573, -1.860352
19.58, 0.013062, -3.110352
19.531, 0.012573, -4.064941
19.482, 0.012817, -4.641113
19.434, 0.012939, -4.779053
19.385, 0.012939, -4.468994
19.336, 0.013062, -3.737793
19.287, 0.013062, -2.658691
19.238, 0.013428, -1.328125
19.189, 0.012695, 0.126953
19.141, 0.013062, 1.564941
19.092, 0.013062, 2.851562
19.043, 0.012817, 3.863525
18.994, 0.013306, 4.511719
18.945, 0.013062, 4.725342
18.896, 0.012939, 4.494629
18.848, 0.012695, 3.830566
18.799, 0.012817, 2.996826
18.75, 0.012695, 1.737061
18.701, 0.013062, 0.311279
18.652, 0.012817, -1.147461
18.604, 0.012939, -2.5
18.555, 0.012695, -3.618164
18.506, 0.012695, -4.396973
18.457, 0.013062, -4.766846
18.408, 0.012939, -4.683838
18.359, 0.012817, -4.162598
18.311, 0.013062, -3.249512
18.262, 0.012939, -2.03125
18.213, 0.013062, -0.623779
18.164, 0.012939, 0.838623
18.115, 0.012817, 2.219238
18.066, 0.012817, 3.387451
18.018, 0.012817, 4.230957
17.969, 0.012817, 4.672852
17.92, 0.012817, 4.669189
17.871, 0.012817, 4.221191
17.822, 0.012573, 3.371582
17.773, 0.012695, 2.197266
17.725, 0.012695, 0.81543
17.676, 0.012939, -0.649414
17.627, 0.012573, -2.053223
17.578, 0.012573, -3.082275
17.529, 0.012817, -4.049072
17.48, 0.012939, -4.632568
17.432, 0.012817, -4.781494
17.383, 0.012817, -4.481201
17.334, 0.012207, -3.759766
17.285, 0.013184, -2.686768
17.236, 0.012939, -1.359863
17.188, 0.012817, 0.091553
17.139, 0.012939, 1.531982
17.09, 0.012817, 2.823486
17.041, 0.012695, 3.845215
16.992, 0.013062, 4.498291
16.943, 0.012573, 4.725342
16.895, 0.012817, 4.505615
16.846, 0.012817, 3.850098
16.797, 0.012939, 2.830811
16.748, 0.012817, 1.539307
16.699, 0.012939, 0.100098
16.65, 0.012573, -1.351318
16.602, 0.012939, -2.679443
16.553, 0.012817, -3.753662
16.504, 0.012451, -4.47876
16.455, 0.012695, -4.780273
16.406, 0.013062, -4.63623
16.357, 0.012817, -4.052734
16.309, 0.013062, -3.275146
16.26, 0.012817, -2.061768
16.211, 0.012817, -0.656738
16.162, 0.012817, 0.805664
16.113, 0.012695, 2.188721
16.064, 0.012817, 3.363037
16.016, 0.013184, 4.211426
15.967, 0.012817, 4.665527
15.918, 0.012817, 4.671631
15.869, 0.012329, 4.237061
15.82, 0.012695, 3.393555
15.771, 0.012573, 2.229004
15.723, 0.012695, 0.848389
15.674, 0.012329, -0.612793
15.625, 0.012695, -2.021484
15.576, 0.012817, -3.242188
15.527, 0.012939, -4.156494
15.479, 0.012817, -4.682617
15.43, 0.012695, -4.764404
15.381, 0.012817, -4.404297
15.332, 0.012573, -3.624268
15.283, 0.012329, -2.507324
15.234, 0.012573, -1.153564
15.186, 0.012451, 0.302734
15.137, 0.012817, 1.728516
15.088, 0.012695, 2.796631
15.039, 0.012939, 3.824463
14.99, 0.012939, 4.489746
14.941, 0.013062, 4.727783
14.893, 0.012817, 4.512939
14.844, 0.012573, 3.87207
14.795, 0.012573, 2.858887
14.746, 0.012329, 1.575928
14.697, 0.012451, 0.136719
14.648, 0.012451, -1.317139
14.6, 0.012573, -2.648926
14.551, 0.012573, -3.73291
14.502, 0.012329, -4.462891
14.453, 0.012573, -4.779053
14.404, 0.012939, -4.642334
14.355, 0.012329, -4.068604
14.307, 0.012451, -3.116455
14.258, 0.012573, -1.867676
14.209, 0.012329, -0.449219
14.16, 0.012451, 1.010742
14.111, 0.012573, 2.373047
14.063, 0.012329, 3.505859
14.014, 0.012573, 4.309082
13.965, 0.012085, 4.697266
13.916, 0.012573, 4.639893
13.867, 0.012451, 4.251709
13.818, 0.012451, 3.419189
13.77, 0.012451, 2.260742
13.721, 0.012451, 0.882568
13.672, 0.012329, -0.578613
13.623, 0.012573, -1.990967
13.574, 0.012573, -3.216553
13.525, 0.012573, -4.138184
13.477, 0.012451, -4.675293
13.428, 0.012573, -4.768066
13.379, 0.012573, -4.416504
13.33, 0.012573, -3.647461
13.281, 0.012573, -2.536621
13.232, 0.012695, -1.190186
13.184, 0.012573, 0.267334
13.135, 0.012817, 1.694336
13.086, 0.012939, 2.961426
13.037, 0.012451, 3.944092
12.988, 0.012573, 4.550781
12.939, 0.012695, 4.724121
12.891, 0.012573, 4.449463
12.842, 0.013184, 3.746338
12.793, 0.012695, 2.687988
12.744, 0.012817, 1.37207
12.695, 0.012939, -0.075684
12.646, 0.012573, -1.282959
12.598, 0.012573, -2.619629
12.549, 0.012939, -3.712158
12.5, 0.012817, -4.453125
12.451, 0.012939, -4.777832
12.402, 0.012817, -4.6521
12.354, 0.012939, -4.090576
12.305, 0.012939, -3.143311
12.256, 0.012939, -1.901855
12.207, 0.012939, -0.483398
12.158, 0.013062, 0.976562
12.109, 0.012573, 2.342529
12.061, 0.013062, 3.482666
12.012, 0.012817, 4.290771
11.963, 0.013062, 4.691162
11.914, 0.012817, 4.644775
11.865, 0.012817, 4.154053
11.816, 0.012817, 3.269043
11.768, 0.012695, 2.071533
11.719, 0.012817, 0.673828
11.67, 0.012817, -0.789795
11.621, 0.012695, -2.181396
11.572, 0.012939, -3.369141
11.523, 0.012939, -4.243164
11.475, 0.012695, -4.715576
11.426, 0.012695, -4.746094
11.377, 0.012939, -4.428711
11.328, 0.012817, -3.670654
11.279, 0.012939, -2.567139
11.23, 0.013062, -1.224365
11.182, 0.012573, 0.234375
11.133, 0.012939, 1.665039
