TIME ms, IN1, IN2
15.283, 0.013062, -2.434082
15.234, 0.012939, -1.071777
15.186, 0.012817, 0.386963
15.137, 0.013062, 1.807861
15.088, 0.012939, 2.86499
15.039, 0.012939, 3.873291
14.99, 0.012695, 4.516602
14.941, 0.012939, 4.725342
14.893, 0.012939, 4.489746
14.844, 0.012939, 3.820801
14.795, 0.012573, 2.791748
14.746, 0.012817, 1.491699
14.697, 0.013184, 0.047607
14.648, 0.012939, -1.401367
14.6, 0.012939, -2.720947
14.551, 0.012451, -3.78418
14.502, 0.012939, -4.49585
14.453, 0.013062, -4.785156
14.404, 0.012939, -4.620361
14.355, 0.012939, -4.024658
14.307, 0.013062, -3.051758
14.258, 0.012817, -1.790771
14.209, 0.012695, -0.36499
14.16, 0.013062, 1.094971
14.111, 0.012817, 2.445068
14.063, 0.013062, 3.564453
14.014, 0.012817, 4.34082
13.965, 0.012939, 4.70459
13.916, 0.012695, 4.621582
13.867, 0.012817, 4.213867
13.818, 0.013062, 3.356934
13.77, 0.012939, 2.183838
13.721, 0.012573, 0.797119
13.672, 0.012695, -0.665283
13.623, 0.012695, -2.070312
13.574, 0.012939, -3.278809
13.525, 0.012573, -4.180908
13.477, 0.012939, -4.692383
13.428, 0.013184, -4.761963
13.379, 0.013062, -4.381104
13.33, 0.012573, -3.590088
13.281, 0.012695, -2.463379
13.232, 0.012695, -1.104736
13.184, 0.012695, 0.352783
13.135, 0.012817, 1.776123
13.086, 0.013184, 3.027344
13.037, 0.012817, 3.99292
12.988, 0.012939, 4.572754
12.939, 0.012939, 4.720459
12.891, 0.012817, 4.417725
12.842, 0.012817, 3.695068
12.793, 0.012573, 2.618408
12.744, 0.012939, 1.291504
12.695, 0.012939, -0.159912
12.646, 0.012939, -1.365967
12.598, 0.012939, -2.692871
12.549, 0.012817, -3.763428
12.5, 0.012817, -4.483643
12.451, 0.012573, -4.781494
12.402, 0.012939, -4.631348
12.354, 0.012817, -4.044189
12.305, 0.012451, -3.076172
12.256, 0.012451, -1.821289
12.207, 0.012817, -0.39917
12.158, 0.012695, 1.060791
12.109, 0.012817, 2.416992
12.061, 0.012939, 3.540039
12.012, 0.012695, 4.328613
11.963, 0.013306, 4.699707
11.914, 0.012695, 4.625244
11.865, 0.013062, 4.11377
11.816, 0.012695, 3.205566
11.768, 0.012451, 1.99707
11.719, 0.012817, 0.5896
11.67, 0.012695, -0.874023
11.621, 0.012695, -2.255859
11.572, 0.012573, -3.428955
11.523, 0.012817, -4.282227
11.475, 0.012573, -4.730225
11.426, 0.012817, -4.733887
11.377, 0.012939, -4.398193
11.328, 0.012329, -3.612061
11.279, 0.012939, -2.495117
11.23, 0.012939, -1.141357
11.182, 0.012939, 0.317383
11.133, 0.012695, 1.745605
11.084, 0.012573, 3.000488
11.035, 0.012573, 3.972168
10.986, 0.012817, 4.561768
10.938, 0.012939, 4.72168
10.889, 0.012939, 4.42749
10.84, 0.012451, 3.717041
10.791, 0.012939, 2.645264
10.742, 0.012695, 1.325684
10.693, 0.012817, -0.125732
10.645, 0.012451, -1.566162
10.596, 0.012695, -2.86499
10.547, 0.012695, -3.892822
10.498, 0.012695, -4.553223
10.449, 0.012329, -4.788818
10.4, 0.012451, -4.570312
10.352, 0.012573, -3.927002
10.303, 0.012329, -2.912598
10.254, 0.012329, -1.625977
10.205, 0.012329, -0.186768
10.156, 0.012817, 1.025391
10.107, 0.012451, 2.387695
10.059, 0.012695, 3.516846
10.01, 0.012939, 4.312744
9.961, 0.012695, 4.696045
9.912, 0.012451, 4.63623
9.863, 0.012451, 4.13208
9.814, 0.012451, 3.233643
9.766, 0.012207, 2.027588
9.717, 0.012695, 0.625
9.668, 0.012695, -0.837402
9.619, 0.012451, -2.226562
9.57, 0.012451, -3.404541
9.521, 0.012329, -4.263916
9.473, 0.012329, -4.7229
9.424, 0.012573, -4.73877
9.375, 0.012573, -4.309082
9.326, 0.012817, -3.47168
9.277, 0.012817, -2.312012
9.229, 0.012329, -0.935059
9.18, 0.012817, 0.528564
9.131, 0.012329, 1.937256
9.082, 0.012573, 3.161621
9.033, 0.012451, 4.083252
8.984, 0.012695, 4.613037
8.936, 0.012695, 4.7229
8.887, 0.012573, 4.44458
8.838, 0.012573, 3.737793
8.789, 0.012573, 2.675781
8.74, 0.012329, 1.358643
8.691, 0.012329, -0.091553
8.643, 0.012207, -1.534424
8.594, 0.012329, -2.834473
8.545, 0.012695, -3.869629
8.496, 0.012817, -4.541016
8.447, 0.012817, -4.787598
8.398, 0.012573, -4.581299
8.35, 0.012695, -3.946533
8.301, 0.012329, -2.939453
8.252, 0.012207, -1.656494
8.203, 0.012329, -0.220947
8.154, 0.012573, 1.230469
8.105, 0.012451, 2.564697
8.057, 0.012695, 3.654785
8.008, 0.012817, 4.393311
7.959, 0.012695, 4.714355
7.91, 0.012451, 4.589844
7.861, 0.012451, 4.024658
7.813, 0.012817, 3.074951
7.764, 0.012329, 1.834717
7.715, 0.012817, 0.413818
7.666, 0.012451, -0.804443
7.617, 0.012451, -2.194824
7.568, 0.012573, -3.380127
7.52, 0.012329, -4.249268
7.471, 0.012573, -4.716797
7.422, 0.012817, -4.744873
7.373, 0.012451, -4.321289
7.324, 0.012573, -3.498535
7.275, 0.012695, -2.342529
7.227, 0.012817, -0.970459
7.178, 0.012817, 0.493164
7.129, 0.012573, 1.906738
7.08, 0.012573, 3.133545
7.031, 0.012817, 4.064941
6.982, 0.012207, 4.609375
6.934, 0.012695, 4.709473
6.885, 0.012817, 4.367676
6.836, 0.012817, 3.603516
6.787, 0.012573, 2.501221
6.738, 0.012939, 1.153564
6.689, 0.012695, -0.301514
6.641, 0.012695, -1.733398
6.592, 0.013062, -3.00415
6.543, 0.012817, -3.990479
6.494, 0.012695, -4.603271
6.445, 0.012817, -4.787598
6.396, 0.013062, -4.593506
6.348, 0.012939, -3.966064
6.299, 0.013062, -2.96875
6.25, 0.012573, -1.689453
6.201, 0.012817, -0.256348
6.152, 0.012817, 1.19873
6.104, 0.012817, 2.536621
6.055, 0.012939, 3.632812
6.006, 0.012939, 4.381104
5.957, 0.012817, 4.713135
5.908, 0.012939, 4.593506
5.859, 0.012695, 4.042969
5.811, 0.012817, 3.101807
5.762, 0.012451, 1.867676
5.713, 0.012573, 0.450439
5.664, 0.012573, -1.010742
5.615, 0.012939, -2.37915
5.566, 0.012573, -3.526611
5.518, 0.013306, -4.343262
5.469, 0.012695, -4.749756
5.42, 0.012939, -4.710693
5.371, 0.012573, -4.228516
5.322, 0.012695, -3.347168
5.273, 0.012451, -2.155762
5.225, 0.012573, -1.000977
5.176, 0.012939, 0.457764
5.127, 0.013062, 1.875
5.078, 0.012817, 3.106689
5.029, 0.013062, 4.046631
4.98, 0.012695, 4.598389
4.932, 0.012573, 4.714355
4.883, 0.012817, 4.378662
4.834, 0.012939, 3.626709
