Model,DPO4054B
Firmware Version,3.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.00088
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.661e-02,0.12
-4.660e-02,0.12
-4.659e-02,0.12
-4.658e-02,0.1
-4.657e-02,0.12
-4.656e-02,0.12
-4.655e-02,0.12
-4.654e-02,0.1
-4.653e-02,0.12
-4.652e-02,0.12
-4.651e-02,0.1
-4.650e-02,0.12
-4.649e-02,0.12
-4.648e-02,0.12
-4.647e-02,0.14
-4.646e-02,0.12
-4.645e-02,0.1
-4.644e-02,0.12
-4.643e-02,0.12
-4.642e-02,0.12
-4.641e-02,0.12
-4.640e-02,0.12
-4.639e-02,0.12
-4.638e-02,0.12
-4.637e-02,0.1
-4.636e-02,0.1
-4.635e-02,0.14
-4.634e-02,0.12
-4.633e-02,0.12
-4.632e-02,0.12
-4.631e-02,0.12
-4.630e-02,0.1
-4.629e-02,0.1
-4.628e-02,0.14
-4.627e-02,0.12
-4.626e-02,0.12
-4.625e-02,0.12
-4.624e-02,0.1
-4.623e-02,0.14
-4.622e-02,0.12
-4.621e-02,0.1
-4.620e-02,0.12
-4.619e-02,0.12
-4.618e-02,0.12
-4.617e-02,0.12
-4.616e-02,0.12
-4.615e-02,0.1
-4.614e-02,0.12
-4.613e-02,0.12
-4.612e-02,0.12
-4.611e-02,0.12
-4.610e-02,0.12
-4.609e-02,0.12
-4.608e-02,0.12
-4.607e-02,0.12
-4.606e-02,0.1
-4.605e-02,0.12
-4.604e-02,0.12
-4.603e-02,0.12
-4.602e-02,0.12
-4.601e-02,0.12
-4.600e-02,0.12
-4.599e-02,0.1
-4.598e-02,0.12
-4.597e-02,0.1
-4.596e-02,0.1
-4.595e-02,0.12
-4.594e-02,0.14
-4.593e-02,0.14
-4.592e-02,0.12
-4.591e-02,0.1
-4.590e-02,0.12
-4.589e-02,0.12
-4.588e-02,0.1
-4.587e-02,0.12
-4.586e-02,0.12
-4.585e-02,0.12
-4.584e-02,0.12
-4.583e-02,0.12
-4.582e-02,0.12
-4.581e-02,0.12
-4.580e-02,0.12
-4.579e-02,0.12
-4.578e-02,0.12
-4.577e-02,0.1
-4.576e-02,0.1
-4.575e-02,0.12
-4.574e-02,0.12
-4.573e-02,0.12
-4.572e-02,0.12
-4.571e-02,0.14
-4.570e-02,0.12
-4.569e-02,0.14
-4.568e-02,0.1
-4.567e-02,0.1
-4.566e-02,0.08
-4.565e-02,0.1
-4.564e-02,0.12
-4.563e-02,0.12
-4.562e-02,0.12
-4.561e-02,0.12
-4.560e-02,0.12
-4.559e-02,0.12
-4.558e-02,0.12
-4.557e-02,0.12
-4.556e-02,0.12
-4.555e-02,0.12
-4.554e-02,0.12
-4.553e-02,0.1
-4.552e-02,0.12
-4.551e-02,0.1
-4.550e-02,0.1
-4.549e-02,0.12
-4.548e-02,0.12
-4.547e-02,0.12
-4.546e-02,0.12
-4.545e-02,0.12
-4.544e-02,0.1
-4.543e-02,0.12
-4.542e-02,0.12
-4.541e-02,0.12
-4.540e-02,0.1
-4.539e-02,0.12
-4.538e-02,0.12
-4.537e-02,0.12
-4.536e-02,0.12
-4.535e-02,0.12
-4.534e-02,0.12
-4.533e-02,0.1
-4.532e-02,0.12
-4.531e-02,0.12
-4.530e-02,0.08
-4.529e-02,0.14
-4.528e-02,0.12
-4.527e-02,0.12
-4.526e-02,0.12
-4.525e-02,0.12
-4.524e-02,0.12
-4.523e-02,0.12
-4.522e-02,0.1
-4.521e-02,0.1
-4.520e-02,0.12
-4.519e-02,0.14
-4.518e-02,0.14
-4.517e-02,0.12
-4.516e-02,0.12
-4.515e-02,0.1
-4.514e-02,0.12
-4.513e-02,0.1
-4.512e-02,0.12
-4.511e-02,0.1
-4.510e-02,0.12
-4.509e-02,0.14
-4.508e-02,0.12
-4.507e-02,0.12
-4.506e-02,0.12
-4.505e-02,0.12
-4.504e-02,0.12
-4.503e-02,0.12
-4.502e-02,0.12
-4.501e-02,0.12
-4.500e-02,0.12
-4.499e-02,0.12
-4.498e-02,0.12
-4.497e-02,0.14
-4.496e-02,0.12
-4.495e-02,0.12
-4.494e-02,0.12
-4.493e-02,0.12
-4.492e-02,0.12
-4.491e-02,0.12
-4.490e-02,0.1
-4.489e-02,0.12
-4.488e-02,0.12
-4.487e-02,0.12
-4.486e-02,0.1
-4.485e-02,0.12
-4.484e-02,0.12
-4.483e-02,0.12
-4.482e-02,0.1
-4.481e-02,0.12
-4.480e-02,0.12
-4.479e-02,0.12
-4.478e-02,0.12
-4.477e-02,0.12
-4.476e-02,0.1
-4.475e-02,0.12
-4.474e-02,0.12
-4.473e-02,0.12
-4.472e-02,0.12
-4.471e-02,0.12
-4.470e-02,0.12
-4.469e-02,0.14
-4.468e-02,0.12
-4.467e-02,0.1
-4.466e-02,0.12
-4.465e-02,0.12
-4.464e-02,0.12
-4.463e-02,0.12
-4.462e-02,0.1
-4.461e-02,0.12
-4.460e-02,0.12
-4.459e-02,0.1
-4.458e-02,0.12
-4.457e-02,0.12
-4.456e-02,0.1
-4.455e-02,0.14
-4.454e-02,0.12
-4.453e-02,0.1
-4.452e-02,0.12
-4.451e-02,0.12
-4.450e-02,0.1
-4.449e-02,0.12
-4.448e-02,0.08
-4.447e-02,0.12
-4.446e-02,0.12
-4.445e-02,0.12
-4.444e-02,0.12
-4.443e-02,0.12
-4.442e-02,0.14
-4.441e-02,0.12
-4.440e-02,0.1
-4.439e-02,0.12
-4.438e-02,0.12
-4.437e-02,0.1
-4.436e-02,0.12
-4.435e-02,0.12
-4.434e-02,0.12
-4.433e-02,0.12
-4.432e-02,0.12
-4.431e-02,0.12
-4.430e-02,0.12
-4.429e-02,0.12
-4.428e-02,0.12
-4.427e-02,0.12
-4.426e-02,0.14
-4.425e-02,0.12
-4.424e-02,0.08
-4.423e-02,0.1
-4.422e-02,0.12
-4.421e-02,0.12
-4.420e-02,0.12
-4.419e-02,0.12
-4.418e-02,0.1
-4.417e-02,0.1
-4.416e-02,0.12
-4.415e-02,0.12
-4.414e-02,0.12
-4.413e-02,0.12
-4.412e-02,0.12
-4.411e-02,0.12
-4.410e-02,0.1
-4.409e-02,0.1
-4.408e-02,0.12
-4.407e-02,0.12
-4.406e-02,0.12
-4.405e-02,0.1
-4.404e-02,0.12
-4.403e-02,0.12
-4.402e-02,0.1
-4.401e-02,0.12
-4.400e-02,0.1
-4.399e-02,0.12
-4.398e-02,0.12
-4.397e-02,0.12
-4.396e-02,0.12
-4.395e-02,0.12
-4.394e-02,0.12
-4.393e-02,0.12
-4.392e-02,0.12
-4.391e-02,0.1
-4.390e-02,0.1
-4.389e-02,0.12
-4.388e-02,0.12
-4.387e-02,0.12
-4.386e-02,0.12
-4.385e-02,0.12
-4.384e-02,0.12
-4.383e-02,0.12
-4.382e-02,0.12
-4.381e-02,0.12
-4.380e-02,0.12
-4.379e-02,0.12
-4.378e-02,0.08
-4.377e-02,0.12
-4.376e-02,0.12
-4.375e-02,0.14
-4.374e-02,0.12
-4.373e-02,0.12
-4.372e-02,0.08
-4.371e-02,0.12
-4.370e-02,0.1
-4.369e-02,0.14
-4.368e-02,0.12
-4.367e-02,0.12
-4.366e-02,0.12
-4.365e-02,0.14
-4.364e-02,0.1
-4.363e-02,0.12
-4.362e-02,0.12
-4.361e-02,0.12
-4.360e-02,0.12
-4.359e-02,0.1
-4.358e-02,0.12
-4.357e-02,0.12
-4.356e-02,0.12
-4.355e-02,0.12
-4.354e-02,0.12
-4.353e-02,0.1
-4.352e-02,0.12
-4.351e-02,0.12
-4.350e-02,0.1
-4.349e-02,0.12
-4.348e-02,0.12
-4.347e-02,0.12
-4.346e-02,0.12
-4.345e-02,0.12
-4.344e-02,0.12
-4.343e-02,0.12
-4.342e-02,0.12
-4.341e-02,0.12
-4.340e-02,0.1
-4.339e-02,0.12
-4.338e-02,0.12
-4.337e-02,0.12
-4.336e-02,0.12
-4.335e-02,0.12
-4.334e-02,0.1
-4.333e-02,0.1
-4.332e-02,0.12
-4.331e-02,0.1
-4.330e-02,0.12
-4.329e-02,0.12
-4.328e-02,0.12
-4.327e-02,0.12
-4.326e-02,0.12
-4.325e-02,0.12
-4.324e-02,0.1
-4.323e-02,0.12
-4.322e-02,0.1
-4.321e-02,0.1
-4.320e-02,0.1
-4.319e-02,0.12
-4.318e-02,0.12
-4.317e-02,0.1
-4.316e-02,0.12
-4.315e-02,0.12
-4.314e-02,0.12
-4.313e-02,0.12
-4.312e-02,0.12
-4.311e-02,0.12
-4.310e-02,0.12
-4.309e-02,0.12
-4.308e-02,0.12
-4.307e-02,0.12
-4.306e-02,0.1
-4.305e-02,0.12
-4.304e-02,0.12
-4.303e-02,0.12
-4.302e-02,0.12
-4.301e-02,0.14
-4.300e-02,0.12
-4.299e-02,0.1
-4.298e-02,0.12
-4.297e-02,0.12
-4.296e-02,0.1
-4.295e-02,0.12
-4.294e-02,0.1
-4.293e-02,0.12
-4.292e-02,0.12
-4.291e-02,0.12
-4.290e-02,0.12
-4.289e-02,0.12
-4.288e-02,0.12
-4.287e-02,0.12
-4.286e-02,0.12
-4.285e-02,0.1
-4.284e-02,0.1
-4.283e-02,0.12
-4.282e-02,0.12
-4.281e-02,0.12
-4.280e-02,0.12
-4.279e-02,0.14
-4.278e-02,0.12
-4.277e-02,0.12
-4.276e-02,0.1
-4.275e-02,0.1
-4.274e-02,0.12
-4.273e-02,0.12
-4.272e-02,0.12
-4.271e-02,0.12
-4.270e-02,0.12
-4.269e-02,0.12
-4.268e-02,0.1
-4.267e-02,0.14
-4.266e-02,0.12
-4.265e-02,0.1
-4.264e-02,0.1
-4.263e-02,0.12
-4.262e-02,0.12
-4.261e-02,0.12
-4.260e-02,0.1
-4.259e-02,0.12
-4.258e-02,0.12
-4.257e-02,0.12
-4.256e-02,0.12
-4.255e-02,0.12
-4.254e-02,0.12
-4.253e-02,0.12
-4.252e-02,0.12
-4.251e-02,0.12
-4.250e-02,0.12
-4.249e-02,0.12
-4.248e-02,0.12
-4.247e-02,0.12
-4.246e-02,0.1
-4.245e-02,0.12
-4.244e-02,0.12
-4.243e-02,0.12
-4.242e-02,0.1
-4.241e-02,0.1
-4.240e-02,0.12
-4.239e-02,0.12
-4.238e-02,0.12
-4.237e-02,0.12
-4.236e-02,0.14
-4.235e-02,0.1
-4.234e-02,0.12
-4.233e-02,0.12
-4.232e-02,0.12
-4.231e-02,0.12
-4.230e-02,0.1
-4.229e-02,0.12
-4.228e-02,0.1
