0,0
0,0
0,0
0,0
-32,0
-32,0
-480,224
-480,224
-480,192
-480,192
-480,224
-480,224
-480,192
-480,192
-480,192
-480,192
0,0
0,0
0,-32
0,-32
0,0
0,0
0,0
0,0
0,0
0,0
352,-640
352,-640
352,-608
352,-608
352,-608
352,-608
352,-608
352,-608
352,-608
352,-608
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
352,-640
352,-640
352,-640
352,-640
384,-640
384,-640
384,-640
384,-640
384,-640
384,-640
-544,256
-544,256
-544,256
-544,256
-576,256
-576,256
-576,256
-576,256
-576,256
-576,256
32,32
32,32
0,32
0,32
0,32
0,32
32,32
32,32
0,0
0,0
384,-672
384,-672
384,-672
384,-672
384,-672
384,-672
384,-672
384,-672
384,-672
384,-672
-608,256
-608,256
-608,256
-608,256
-608,256
-608,256
-608,256
-608,256
-608,288
-608,288
0,0
0,0
0,0
0,0
0,32
0,32
0,0
0,0
0,0
0,0
384,-896
384,-896
384,-896
384,-896
384,-896
384,-896
384,-896
384,-896
384,-896
384,-896
-960,320
-960,320
-960,320
-960,320
-960,320
-960,320
-992,320
-992,320
-992,320
-992,320
0,0
0,0
32,0
32,0
0,0
0,0
0,0
0,0
0,0
0,0
352,-608
352,-608
352,-640
352,-640
352,-608
352,-608
352,-640
352,-640
352,-640
352,-640
-512,224
-512,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
352,-608
352,-608
352,-608
352,-608
352,-608
352,-608
352,-608
352,-608
352,-608
352,-608
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
32,32
32,32
352,-576
352,-576
352,-576
352,-576
352,-576
352,-576
352,-576
352,-576
352,-576
352,-576
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
352,-608
352,-608
384,-608
384,-608
352,-608
352,-608
352,-608
352,-608
352,-608
352,-608
-480,224
-480,224
-480,224
-480,224
-512,224
-512,224
-480,224
-480,224
-480,224
-480,224
32,0
32,0
0,32
0,32
0,32
0,32
0,32
0,32
0,32
0,32
352,-576
352,-576
352,-608
352,-608
384,-576
384,-576
384,-576
384,-576
384,-576
384,-576
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
-480,224
0,0
0,0
0,0
0,0
0,32
